draw_order,token_id,pdb_id,outcome,reason_code,reason_detail,reconstructed_bytes,canonical_bytes,reconstructed_sha256,canonical_sha256,byte_identical,reconstructed_atom_count,canonical_atom_count,atom_count_equal,reconstructed_chain_ids,canonical_chain_ids,chain_ids_equal,reconstructed_entity_ids,canonical_entity_ids,entity_ids_equal,atom_keys_equal,reconstructed_coordinate_sha256,canonical_coordinate_sha256,coordinate_hash_equal,max_coordinate_deviation_angstrom,coordinate_tolerance_angstrom,coordinate_agreement,fidelity_pass
11,75718,3PXL,SUCCESS,SUCCESS,,769101,1034222,9a136d872129ba0d9e7eaa9654fdd9c43090b9c77e42aae1b11b2803ce60b185,6c99b3ab68bc3b843613c3d12b7272ffdb15976e45299d1fc4acec3877422adc,False,8239,8239,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J""]",True,"[""1"",""2"",""3"",""4"",""5"",""6"",""7""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7""]",True,True,0bb53d9b68e1211dee7ba454329cc1f536589b845e88a4350d91b5771b73d6fd,0bb53d9b68e1211dee7ba454329cc1f536589b845e88a4350d91b5771b73d6fd,True,0,1e-06,True,True
12,95686,4IX0,SUCCESS,SUCCESS,,237102,288580,8190d4d8f9652d2a5b10aa68d9d8bf10b51f7c85f64a5d1f705ff82b7dc6d834,c1e756befaeb3fb69a5678b96f48be990bb78d9856da8f20eaeeefbd40e23d43,False,2049,2049,True,"[""A"",""B"",""C"",""D"",""E""]","[""A"",""B"",""C"",""D"",""E""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,379e7aa24904a8637063cdf4baf44c27c3476a0e2ba3474a4a2ce10af7b42d7a,379e7aa24904a8637063cdf4baf44c27c3476a0e2ba3474a4a2ce10af7b42d7a,True,0,1e-06,True,True
13,60294,3CNB,SUCCESS,SUCCESS,,217519,303718,802ae57f5689e769252fce25dd3843dab6dd7cfb8227f9c00001694205405e57,886b56f609bfbf07ba261a321a265bac548f05083e7f5d92223571e025f81450,False,3070,3070,True,"[""A"",""B"",""C"",""D"",""E"",""F""]","[""A"",""B"",""C"",""D"",""E"",""F""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,6526ede11638960c5b15f59afe2b04d95e1dd71f1c561e94e5149d4f5c9050df,6526ede11638960c5b15f59afe2b04d95e1dd71f1c561e94e5149d4f5c9050df,True,0,1e-06,True,True
14,1209,1AUN,SUCCESS,SUCCESS,,191366,234579,078d103539a643a5f6caf4e6883cca7f3dc3bb9d33cae472eecfb520c30a0282,a962a80ce73383bb608314ba5768c451a8faa5e2c048a3a9d9f6e7f6f1dfd003,False,1685,1685,True,"[""A"",""B""]","[""A"",""B""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,94a8151972094d24bda5f22243d514317a84a272c28ad262a178eefc3e034d24,94a8151972094d24bda5f22243d514317a84a272c28ad262a178eefc3e034d24,True,0,1e-06,True,True
15,133402,5RGU,SUCCESS,SUCCESS,,355256,432562,394baeae5a2ce2a02a8976390c6d4a6ef14140bb2102fa2f89ee6a1d6c164e80,d70b906e09ec2be6cb1d34ab7636fd00eb82dddc91d4d15be84432ec95bcaa58,False,2596,2596,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,a7f64a56c0cbc47dde5d020ae05e758da54738a3ab77497318647613de66069e,a7f64a56c0cbc47dde5d020ae05e758da54738a3ab77497318647613de66069e,True,0,1e-06,True,True
16,170697,6X1H,SUCCESS,SUCCESS,,967869,1270138,a91fa6823eb3572bf4f3095c2a14df2c5e68fcee68b8d24f98bf8b9f7a2804d0,ef8dac4ef6d4bd8a1d193f072c1c393ddcdc2d0475c3733ef840109632a89256,False,10290,10290,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,6d8fc3e3b1341b01104d468c09fd9f11ad209deae28a8b59f570cf110f206c0f,6d8fc3e3b1341b01104d468c09fd9f11ad209deae28a8b59f570cf110f206c0f,True,0,1e-06,True,True
17,144637,6B8S,SUCCESS,SUCCESS,,592938,739024,df0c6e8f1400fc846fb94004c2fa2ac422f2dc8ef6cc976914509b8be0b2e1f3,b9c0a1f8f2152b7a2c84d48a6bb1a988a6a2f65429e1996f7a4db33b2adb11d4,False,5161,5161,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,e4f28d047f737fb46a21f730204c77ef88d7a99693ac4996226ef366ccf335b0,e4f28d047f737fb46a21f730204c77ef88d7a99693ac4996226ef366ccf335b0,True,0,1e-06,True,True
18,223302,8VN0,SUCCESS,SUCCESS,,391613,473314,9f544583a2cecf4fc1b26aa8467e4f1a0750be3233a1efb588addd307c82a4fe,89db22d3b3f0d9095b0b6e35a75aecadf35bb484feb2d5460117ec79d6d63192,False,3873,3873,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U""]",True,"[""1"",""2"",""3"",""4"",""5"",""6"",""7""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7""]",True,True,378327f328df8afa6065f6efc1784bb71b3878141e2b698a8380c3f204b5cb44,378327f328df8afa6065f6efc1784bb71b3878141e2b698a8380c3f204b5cb44,True,0,1e-06,True,True
19,226889,9BB8,SUCCESS,SUCCESS,,351415,335517,8431551a849cc5b9922c1a613162da505d2bee4024e17caa37448944c4e6e21f,6f4028cf6e1ae360f79f8de0ab907e8a43c5e9b3d45426e7955133c3522cfa4d,False,851,851,True,"[""A"",""B"",""C"",""D""]","[""A"",""B"",""C"",""D""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,20c7ea782e62ed22ef96c56cdb830e3bf43b627897c1575b250c132e54230454,20c7ea782e62ed22ef96c56cdb830e3bf43b627897c1575b250c132e54230454,True,0,1e-06,True,True
20,38009,2GJ7,SUCCESS,SUCCESS,,328810,508257,07056490159003e5a7442cc44235ccd09a1ed3d85502ef9ae07e4c00f3a3fa9c,664287c8819a998bd45ddddb477a4ab71291cbebd44b8fb64c1a892c26b3d830,False,6148,6148,True,"[""A"",""B"",""C"",""D"",""E"",""F""]","[""A"",""B"",""C"",""D"",""E"",""F""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,c6a57d0e5eb882cd0f9170f18796898a119e7d4ab12208376e6c4649c9073052,c6a57d0e5eb882cd0f9170f18796898a119e7d4ab12208376e6c4649c9073052,True,0,1e-06,True,True
21,221086,8TK2,SUCCESS,SUCCESS,,302158,363884,065f211376da1d369800bd43a0edc4df810fed6bf738eaa0ae40f303f75025a2,43d647495eb1b0f139056badf4e52f98c812028b9e841af74e9efabab023fa56,False,3211,3211,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]",True,"[""1"",""2"",""3"",""4"",""5""]","[""1"",""2"",""3"",""4"",""5""]",True,True,2831cf6c0d5c9396e01ac7bfcc3c92913adfea34df3b1214201f327fbc411b4b,2831cf6c0d5c9396e01ac7bfcc3c92913adfea34df3b1214201f327fbc411b4b,True,0,1e-06,True,True
22,33282,2CFG,SUCCESS,SUCCESS,,441681,1110882,81f3766458092ecc3974587dfe848a04c7fc1f30d75e09ea52cbc9f3202f60cf,41923c6ea6557858adf5692a948bf843a57404544ecb887277bca578f221cec4,False,19843,19843,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U"",""V"",""W""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U"",""V"",""W""]",True,"[""1"",""2"",""3"",""4"",""5"",""6"",""7""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7""]",True,True,4dfbaf7ab9e113b580af20da11b67de13cb69ccfe132e53be6fc74fe8cbad3a1,4dfbaf7ab9e113b580af20da11b67de13cb69ccfe132e53be6fc74fe8cbad3a1,True,0,1e-06,True,True
23,63585,3FE1,SUCCESS,SUCCESS,,334339,628905,47db5094f16a82b53da11687e01313d4afad2aaec16444254d7cc47af8197659,5fa4d5601a95076c3892daa464411f0cb4d77291064cbf88c8bb25dbc2fa7616,False,9311,9311,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q""]",True,"[""1"",""2"",""3"",""4"",""5"",""6"",""7""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7""]",True,True,d8c5bc2e222e9bc4beef06129b3f3ecc6a8ab40df379b4cf4afc445288626e32,d8c5bc2e222e9bc4beef06129b3f3ecc6a8ab40df379b4cf4afc445288626e32,True,0,1e-06,True,True
24,197781,7VFJ,SUCCESS,SUCCESS,,281286,575307,8653c73560d10b56806de2c1dcbad798359e5967c6089f86e5b1d5f2740bc8b9,9964feece3b9dea6333b27eed756f67254d4f49f20db0c99398893efdd5fe73e,False,8780,8780,True,"[""A"",""B"",""C"",""D"",""E"",""F""]","[""A"",""B"",""C"",""D"",""E"",""F""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,f005cdcfaeecdd181832057cc55176d2e219d0c028310421f16b0fe380b1e0c7,f005cdcfaeecdd181832057cc55176d2e219d0c028310421f16b0fe380b1e0c7,True,0,1e-06,True,True
25,1326,1AY8,SUCCESS,SUCCESS,,258691,453251,a330b6f7f543708f4197f72bfdcf3685ec5c42f245af4ed2a72fc732e29676a1,b3f3662403aa6c607feb27b2687463f429092b2663b407cdb77e5c8fef4d8355,False,6310,6310,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,7984043448969bb6f74468a23f4e7f8ad3e682ee64d2494737a6c27abc2e3840,7984043448969bb6f74468a23f4e7f8ad3e682ee64d2494737a6c27abc2e3840,True,0,1e-06,True,True
26,76526,3QMH,SUCCESS,SUCCESS,,282524,292856,d188248356d441482f260629cef77aefa9907d8f14a6172eb58db6fe24cc0b2f,222d0b276030309d357fff24cbb4561786aee5bc33b8bf4181c7dc42efb72ff4,False,894,894,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H""]",True,"[""1"",""2"",""3"",""4""]","[""1"",""2"",""3"",""4""]",True,True,0c3c2e24c096ffce39da9338a26ede82c140636292a97127053fc8f4f4f40f94,0c3c2e24c096ffce39da9338a26ede82c140636292a97127053fc8f4f4f40f94,True,0,1e-06,True,True
27,55860,2YX5,SUCCESS,SUCCESS,,171379,179957,ac7818e23a70d0b910df15e15727bd50abbc0f96b4a34b45a8480790aa5eaa83,a7cd2e546ded197801d628c194689c897e30e5b37c982ec687cf4baa82d8876f,False,685,685,True,"[""A"",""B""]","[""A"",""B""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,de9d61a4ae4322e39ab8d0547411fb69854fc672a143c9e9ed65b67bab8e569f,de9d61a4ae4322e39ab8d0547411fb69854fc672a143c9e9ed65b67bab8e569f,True,0,1e-06,True,True
28,123308,5J5F,SUCCESS,SUCCESS,,501002,1101390,2541fe5e98a33928704b660b4d0e99adf3a85523306bf3d40d783c5ae791a993,c62ab4dd23e37102eacd8c9495d4b83fdd967276d8a3432dea33d0ed144b8ef6,False,19030,19030,True,"[""A"",""AA"",""AB"",""B"",""BA"",""BB"",""C"",""CA"",""D"",""DA"",""E"",""EA"",""F"",""FA"",""G"",""GA"",""H"",""HA"",""I"",""IA"",""J"",""JA"",""K"",""KA"",""L"",""LA"",""M"",""MA"",""N"",""NA"",""O"",""OA"",""P"",""PA"",""Q"",""QA"",""R"",""RA"",""S"",""SA"",""T"",""TA"",""U"",""UA"",""V"",""VA"",""W"",""WA"",""X"",""XA"",""Y"",""YA"",""Z"",""ZA""]","[""A"",""AA"",""AB"",""B"",""BA"",""BB"",""C"",""CA"",""D"",""DA"",""E"",""EA"",""F"",""FA"",""G"",""GA"",""H"",""HA"",""I"",""IA"",""J"",""JA"",""K"",""KA"",""L"",""LA"",""M"",""MA"",""N"",""NA"",""O"",""OA"",""P"",""PA"",""Q"",""QA"",""R"",""RA"",""S"",""SA"",""T"",""TA"",""U"",""UA"",""V"",""VA"",""W"",""WA"",""X"",""XA"",""Y"",""YA"",""Z"",""ZA""]",True,"[""1"",""2"",""3"",""4"",""5"",""6"",""7""]","[""1"",""2"",""3"",""4"",""5"",""6"",""7""]",True,True,b3585e0d86d1ff79a0629fe574db789d40ef946e96a9701e7ce83ba1c3f37414,b3585e0d86d1ff79a0629fe574db789d40ef946e96a9701e7ce83ba1c3f37414,True,0,1e-06,True,True
29,48017,2PFZ,SUCCESS,SUCCESS,,333565,411923,656d42cc886ea950f5eba19438638014f11238c0019bec11a70b0465c255ad1d,88ea177e38f8d35b50b1e1238beec5a85a0626e066a9f52e300ebada99e5bec3,False,2539,2539,True,"[""A"",""B"",""C""]","[""A"",""B"",""C""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,de5eb00c673e8bf411222ed6501741238bbb1496beb99221ef7d4f11629a374d,de5eb00c673e8bf411222ed6501741238bbb1496beb99221ef7d4f11629a374d,True,0,1e-06,True,True
30,68681,3K25,SUCCESS,SUCCESS,,519083,662975,33bbecc6080b79e2a864d3b1cb500c98e2ff72c5b9af7e4018c152f9db118af2,d6f063cbabd0e5f76e4823fda38ece9c7eabca388a5a821b5c642d1be6c50af4,False,4705,4705,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,2e8db2a3814788dcda73e9d8c551cad857ece0e5e20213a1552bee9d68ea2617,2e8db2a3814788dcda73e9d8c551cad857ece0e5e20213a1552bee9d68ea2617,True,0,1e-06,True,True
31,119830,5FYQ,SUCCESS,SUCCESS,,281981,423530,b378fef6590d67fda724240d854846d91f02879f1838524b4662bab647754ab5,7b92ab5c77aa096f0e42ac929c25de0f83b1dc4edf9848f311dab722492f3552,False,4605,4605,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K""]",True,"[""1"",""2"",""3"",""4"",""5""]","[""1"",""2"",""3"",""4"",""5""]",True,True,c04168a03d41f8f0e2567be312817b45623f7182fcba24919ce8f9d97f472a68,c04168a03d41f8f0e2567be312817b45623f7182fcba24919ce8f9d97f472a68,True,0,1e-06,True,True
32,67599,3IP4,SUCCESS,SUCCESS,,338118,618271,2497fe7db886fd5235a7183fb07c53b965009ecaaf0c616c08c21a38377ebd05,025cab755155e1649c911f97728d9521d53c994aa4eecf8cba16b5a47416084b,False,9101,9101,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G""]",True,"[""1"",""2"",""3"",""4"",""5""]","[""1"",""2"",""3"",""4"",""5""]",True,True,aee9358c5a6b0d53410fe526994a4f5e343527377681ee28e7d4e096af0a0db5,aee9358c5a6b0d53410fe526994a4f5e343527377681ee28e7d4e096af0a0db5,True,0,1e-06,True,True
33,136684,5UBU,SUCCESS,SUCCESS,,999659,1328896,64336a6447daedff35b1392bbd29c5def7ed743d07395c16706b9d86583473a3,fe467c57e12506d648f6e4c17e8c6ed4d014348c01065cdd865813b9df60884d,False,10660,10660,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,e1df0ff7a113016f39a16b471c4fef49257240029e10059bc3a3718143e33a8e,e1df0ff7a113016f39a16b471c4fef49257240029e10059bc3a3718143e33a8e,True,0,1e-06,True,True
34,34799,2DR0,SUCCESS,SUCCESS,,394453,814305,cd9024ffee8e4b609b5eb135fbd44b11949e29b6a10a9b6272d97f2203bee701,e021fe0b8042c19e66bd2a4850cf04364dec38577b112aac38aa69c86b9bcce0,False,12988,12988,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U"",""V"",""W"",""X""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U"",""V"",""W"",""X""]",True,"[""1"",""2"",""3"",""4"",""5"",""6""]","[""1"",""2"",""3"",""4"",""5"",""6""]",True,True,b6fa6db294c719a40fdc2dae32663d3c74d53bcdf682e547d4a83cf5242a05ec,b6fa6db294c719a40fdc2dae32663d3c74d53bcdf682e547d4a83cf5242a05ec,True,0,1e-06,True,True
35,135729,5TJ4,SUCCESS,SUCCESS,,857163,2135117,bce0e66d0a7e5a5c21fd097aeba42e9536baabc01689de1e4667c911778b08cf,1907b1f6cd98278395b7b184c8132bb060c7d35cc8c9384d58abb1c6f71fe5ae,False,39838,39838,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U"",""V""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L"",""M"",""N"",""O"",""P"",""Q"",""R"",""S"",""T"",""U"",""V""]",True,"[""1"",""2"",""3""]","[""1"",""2"",""3""]",True,True,fcd936151246330a75428ee3a72e436e7c87efc99cec975bed079505ea15442b,fcd936151246330a75428ee3a72e436e7c87efc99cec975bed079505ea15442b,True,0,1e-06,True,True
36,175630,7B2Z,SUCCESS,SUCCESS,,488262,546402,c8b45b205ab69f38ed44f7dfe66281793c001f6eadd69579d413476b8f5341a5,41a58ff3f0d662c8c41196b476dbf691b2d5bebf01d837e39a89de1efac33047,False,2952,2952,True,"[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L""]","[""A"",""B"",""C"",""D"",""E"",""F"",""G"",""H"",""I"",""J"",""K"",""L""]",True,"[""1"",""2"",""3"",""4"",""5""]","[""1"",""2"",""3"",""4"",""5""]",True,True,d22a8f1d18d9ed4dc9ad595f1c4bba9a2c41ad9b7757b2941dc74e921029eb17,d22a8f1d18d9ed4dc9ad595f1c4bba9a2c41ad9b7757b2941dc74e921029eb17,True,0,1e-06,True,True
37,159196,6NK4,SUCCESS,SUCCESS,,230134,197022,c3f4ba4a74f5d2c43378ccb97cdcd67faf055b623fb26162c1632c6618cd9a93,1cd7fa0251d0934bacdadc5f6a2681cf0b4cad26ba598ad13be011ac0496c987,False,79,79,True,"[""A"",""B""]","[""A"",""B""]",True,"[""1"",""2""]","[""1"",""2""]",True,True,3c8cf4de480a31070fabfa3a73578221b1f25cd44b10753edd785dd341ba810e,3c8cf4de480a31070fabfa3a73578221b1f25cd44b10753edd785dd341ba810e,True,0,1e-06,True,True
38,42348,2KFU,SUCCESS,SUCCESS,,542206,2005270,2ee8b2939a311707c47afbae2b04152355cff9971410a80ad27c853fe6dab1c6,3ca8a5df90b9f31cb1db9aef5008f3f056523f2e0e08915f5fd03121703e2147,False,41914,41914,True,"[""A""]","[""A""]",True,"[""1""]","[""1""]",True,True,3f1d3ebd83013aa466348db22893634c5b86bfd19a8d9a6fe719efa67b2fdc12,3f1d3ebd83013aa466348db22893634c5b86bfd19a8d9a6fe719efa67b2fdc12,True,0,1e-06,True,True
